,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯
種別コード_交番,0.299226451242899,0.12534300592562667,0.10556432850588664,0.1165336471925848,0.2656423004404068,0.010953689530738041,0.26096405646568355,0.222104308365605,0.08666267122930993,0.0930362314680341,0.06218710613099488,0.08586314351547988,-0.005403296475226504,0.030320788800008082,0.07664063495424578,0.0038842858082840876,-0.0003726247512789189,0.014190923164981085,0.013448406340796108,0.29508912651752345,-0.009625186166384709,0.03335699588499152,0.266636126815091,0.11760669285521826,0.018803520466845868,0.017898174145709825,0.16789403657710408,0.06546800208352817,0.20143914022656578,0.19828260237590353,0.26191761469178454,0.26546496306332285,0.1885628483263182,0.21441538004456065,0.1201488649448542,0.03861010953235514,0.2540963174514857
種別コード_地域安全センター、連絡所等,0.011560841791660434,0.012301688596727405,-0.009881268108058977,0.02064937949397731,0.026122604407474565,-0.0034007834571266942,0.025209625371640218,0.02039311744184866,0.030019509918059316,-0.016787724747460913,0.006196923448033423,-0.009542878117021874,-0.005490291102806101,-0.002725288911226847,0.02298346341178292,0.010685426519110981,-0.013095940045608387,-0.009936457483880525,-0.0015798423821856006,0.0055476316611785485,0.012610341453476214,-0.005631896733194827,0.0014361189053096756,-0.001351837211011653,-0.014133945701986889,0.0006069116201730772,0.008691243081176766,0.016393131005129145,-0.0038857194798921097,0.0006349499924990122,0.014523488922559686,0.01494466083967917,0.02235381555382359,0.006286340119653323,-0.004521158272703084,-0.0023806259154473927,0.010460981285453938
種別コード_派出所,0.007168474755374311,0.011873588023222564,0.0015037212724267617,0.01490583474924904,0.012869937070151497,-0.0016024921029495615,0.018333292543676733,0.001171928983297864,0.008005958872669826,-0.00791058786113556,-0.002220431987368198,-0.00449672465616443,-0.00258709448750804,-0.002258963293594017,-0.001499589000087088,5.494376074448553e-05,0.007214118611818932,-0.004682184223121907,-0.0008744194927462651,-0.004790501730863863,-0.009984942411266934,-0.019579648139991118,-0.02193854511091313,0.003180363093914382,-0.006660093668559655,-0.01221522919400636,0.007013591331559779,-0.005102031846236253,0.03757889257852654,0.0010760296230602838,0.00391377531224505,0.0359812866721788,0.047588247820730976,0.008364528698569872,0.11122309464881328,-0.0011217809889032821,0.01652273689713359
種別コード_警察学校,-5.518111512793491e-06,-0.002564252419092791,-0.001859311796777294,-0.0025207065586954503,-0.005063921081221766,-0.00037933658543761416,-0.004388950737272547,-0.004653449735196365,-0.0038455837356069365,-0.0018725679724250508,-0.002787508065747909,-0.0010644496616132389,-0.0006124083777320587,-0.0005347342560026545,-0.0012960909747446944,-0.00319844698005371,-0.0014607719787586985,-0.0011083510316960599,-0.0014223223041630398,0.0023593467343841954,-0.0023636022624446192,-0.004634828999046834,0.018197817665546834,-0.00545472852471225,-0.001576555158228825,-0.0028915483104493492,-0.0013299873118192604,-0.0012077359606221735,-0.0023561947589252788,-0.00344477422108857,-0.006076839646598573,-0.0023877262836112037,-0.008397990804079918,0.014074783969898221,-0.0028508080198287244,-0.0002655442539505598,-0.002622598401963669
種別コード_警察本部,0.003276070816744518,-0.0020750550119489892,0.010926386183551058,-0.007697304479259027,0.018638386467884703,-0.0011583534736176943,0.006901874576699983,0.039174122507736234,-0.01174298881055485,0.02255071742127392,0.00561591503612843,0.04674278934664587,-0.0018700684269621355,-0.0016328804198742805,-0.003957781928648086,0.014303844700526334,-0.004460656737884851,-0.0033844936577150284,0.0047660042001270945,-0.0016284248284042964,-0.0072175661300764365,-0.014153051608445079,-0.005220714787942734,-0.0011475686417398495,-0.004814215696536327,-0.008829717876219004,0.0015418423468690741,0.029605866377272003,0.022924660460477687,0.0003018814263156007,-0.002088461699446528,0.006181846269918696,-0.01293927087931401,0.00031869288077687497,0.029889834184040544,-0.0008108738275481609,0.014251853846538334
種別コード_警察署,0.08079361017390001,0.031484636878658115,0.006948748247950429,0.03817733502014119,0.06480447389377812,-0.0036956019779202176,0.055995276698976505,0.05538932882315236,0.05995780344093916,0.03509433384849013,0.015493657620867952,0.04622590043545921,-0.005966251869512112,-0.0032999536657431334,0.0006823606468038217,0.02333954405275243,0.0036921977858515066,-0.010797862431962854,0.01536167074336036,0.07834039977003604,-0.023026867250439797,0.0027405524016237406,0.04131257584453103,0.03757237293290044,0.05322433401127044,-0.01592535320560266,0.020873097663976634,0.013361314549770784,0.06342599742202965,0.07490465534804233,0.07362881220630026,0.0804553187306168,0.06489210362727893,0.06467815618001459,0.0644665471831059,-0.0025870055981890806,0.06965112976373622
種別コード_駐在所,-0.0252833524098676,-0.016509535694765907,-0.010892561801982895,-0.016719930726434608,-0.03191619224033897,-0.005026054431226955,-0.029521108630125865,-0.029934436588902588,-0.011382432259809505,-0.009212693016475315,-0.0002947185789238584,-0.014103522159343993,-0.008114160243915994,-0.0042928155276055445,-0.013280502833094664,0.014068856001948672,0.03306093336911947,0.012056672878251776,0.001259866901139496,-0.025397937905426073,0.014305711684030532,0.04094404837795075,-0.02771259784793464,0.00046647028009613636,-0.0008320358595262416,0.033306540993437224,-0.012984278930488044,0.01155410051970844,-0.012937418152644164,-0.017654020566156534,-0.026563830251488965,-0.01602474628516348,-0.013825966343142428,-0.022423716155482498,-0.020025482070241112,-0.0035183526332304357,-0.00977354341307637
総合計,1.0,0.4754583207161015,0.3919504229911775,0.44590253713314887,0.8810338490286427,0.001702946367177811,0.8550016876196986,0.7618463387050778,0.2678593368584971,0.311455237237841,0.309599175405524,0.31980143821881585,0.013523480985708373,0.13554687452945582,0.23336130762386442,0.0611365157364613,0.012391510599211578,0.03038202875540643,0.1675192658325672,0.9741074395491646,0.017877789963718516,0.17607606806194417,0.635613079910876,0.34302855888325784,0.07944780670153248,0.05477053082799403,0.6504244279139781,0.2859483964666609,0.682005175364487,0.8192177313333624,0.873326168413121,0.8844216148094903,0.6319465925638028,0.6991364356756621,0.4048149372658158,0.39271799332960017,0.8422574862271766
凶悪犯計,0.4754583207161015,1.0,0.779102727619232,0.9584359270419104,0.5395013634510409,0.0075297826373519235,0.4819016464210102,0.5243852408586215,0.18735196714536217,0.26723718487503256,0.09457278055250047,0.08085344976120014,-0.0037610359994328,0.015274376385619518,0.12386577053779398,0.05150709096695908,0.002398165044171542,0.055774862633556764,0.026532550123770208,0.39222672279311993,0.001644413671131998,0.06745894146960656,0.2239017245494393,0.11387265172292145,0.1009547249078944,0.018227913952622517,0.41240715403651096,0.5302683062310333,0.3659631569906374,0.20729536079628172,0.5216492541809677,0.4453144118127427,0.2860367827926729,0.3734637596034102,0.18658593250015107,0.3488835106424832,0.4355543567097062
凶悪犯強盗,0.3919504229911775,0.779102727619232,1.0,0.5678616116402407,0.43640247430556467,-0.003221127881353158,0.38844406876642773,0.4222383637725658,0.13727413048396028,0.2763935555900654,0.07554267275883472,0.0771146337370393,-0.005200251639348956,0.008540150593974068,0.08776173881507576,0.05061751651726572,-0.007288367502092476,0.08454842390712801,0.025205088236134657,0.3329669661152838,0.015551449502391257,0.04266403297235156,0.18982580451979206,0.07228209947844615,0.07274384970387866,0.017386080499063,0.3628718937835503,0.45591903383962734,0.26936366252233035,0.20268016781692869,0.41133515719007246,0.35256981978370455,0.23083531517723022,0.305605271779149,0.18363949738257154,0.30239934841356303,0.3348090902622424
