Target,公民館の種別_その他,公民館の種別_中央,公民館の種別_分館,公民館の種別_地区,施設区分コード_その他集客施設,施設区分コード_公会堂・集会場,施設区分コード_劇場・演劇場,施設区分コード_寄席を有する体育館・観覧場,施設区分コード_展示場,施設区分コード_映画館
その他その他刑法犯,0.006947474039423529,0.0,0.0,0.0,0.0,0.0,0.010071509825636316,0.0,0.0,0.023681401627317022
その他その他知能犯,0.0,0.0,0.0,0.01758321923875439,0.0,0.002754957582943973,0.0,0.0,0.0018462814233721758,0.013814456152455357
その他占有離脱物横領,0.007309111444968153,0.0,0.0,0.01490907756391735,0.0014553845671096965,0.0,0.005184105102685521,0.0,0.0,0.0
その他計,0.0,0.0,0.010854016936634903,0.0,0.0,0.02289748107641909,0.029077832109834834,0.0,0.006879435110150212,0.019660930382402686
その他詐欺,0.009366205161151164,0.0,0.017710225928357914,0.00046940381351134874,0.0,0.0,0.0,0.0,0.00594899378122804,0.0008507442033058865
その他賭博,0.0,0.0,0.0017967125186908461,0.005529223726299826,0.0,0.007400101454001273,0.0,0.0,0.0,0.0
侵入窃盗その他,0.0,0.0,0.004373039632696418,0.0,0.0,0.012635030571450656,0.0,0.0021424357451893528,0.004012389150187978,0.013021005355285276
侵入窃盗事務所荒し,0.0,0.0011989134031828996,0.005492723062875626,0.0,0.013905081035641587,0.008600280445900665,0.007349158305550496,0.0,0.0,0.016046744482236974
侵入窃盗出店荒し,0.0,0.0,0.0035120078223203066,0.004094296394926644,0.0,0.0,0.012606750773726638,0.00973293427967814,0.0026066875857253535,0.00107066479358231
侵入窃盗学校荒し,0.0005536506217289627,0.0,0.0,0.0006521516601916133,0.0,0.0,0.010477152748681995,0.0,0.0,0.00792203443302153
侵入窃盗居空き,0.009714768857948641,0.005418438912451862,0.0,0.0,0.0,0.0,0.005803159869472552,0.005849291882719321,0.0,0.0022517077314301304
侵入窃盗忍込み,0.0,0.0,0.004416232295040956,0.013436910583343398,0.0030194330641277745,0.0,0.007038398906047405,0.004469594681299149,0.023783836837593775,0.0
侵入窃盗空き巣,0.013455447014781186,0.0019234294816472541,0.016198734094609257,0.011343114662992981,0.002261534330088466,0.0,0.008159747562789477,0.013865072772022202,0.0,0.0
侵入窃盗計,0.009924978179892463,0.0,0.011264256095761205,0.007429792170697169,0.011515777241490888,0.003461723773402703,0.0,0.0,0.02137428289847243,0.0
侵入窃盗金庫破り,0.0,0.007893342259464475,0.0,0.0027364640513045657,0.0,0.0,0.0,0.0,0.0,0.0
凶悪犯その他,0.018609662827895335,0.0,0.015049111633165246,0.014720795632478634,0.0,0.0,0.0,0.007231400126078036,0.0,0.004615303639623924
凶悪犯強盗,0.002974227298804699,0.0,0.0,0.0,0.0,0.01001588647217222,0.008700619494130812,0.0143154019430618,0.0,0.004045055671769049
凶悪犯計,0.011624890186180181,0.01986406891063197,0.0,0.0,0.005104943137768103,0.010542193798137589,0.0,0.0,0.0,0.0
粗暴犯傷害,0.012164791672985231,0.007886043792719732,0.009457634858286212,0.0,0.020871959429360487,0.009999041582862134,0.018853249251388426,0.016588103261296006,0.0,0.0
粗暴犯凶器準備集合,0.0,0.008708178506714681,0.006156015012815708,0.0019256434117060905,0.0,0.0032260040782832178,0.0,0.0019453934475839318,0.0,0.0027766601017358283
粗暴犯恐喝,0.0,0.0,0.0,0.0,0.014646255632333904,0.0,0.002927573407373707,0.014550442345828252,0.0,0.0
粗暴犯暴行,0.0023018753547274784,0.005862356187633644,0.01087218962301062,0.008303257833547129,0.0,0.00020866871722002855,0.029944364702384263,0.00480427919208104,0.0,0.0010103771592300248
粗暴犯脅迫,0.0,0.0018210930437509987,0.007182548402082212,0.0,0.0017143884772723439,0.0,0.01209260486480268,0.0,0.008712839290390129,0.0
粗暴犯計,0.003037157024392556,0.0,0.0,0.0012173899735454796,0.00917713397865505,0.01667940086965647,0.01626105095366448,0.006066917803645211,0.0,0.0
総合計,0.0064685890753470865,0.007731580116926207,0.0064572782443379495,0.0,0.0,0.01609287450476149,0.031624814532026146,0.0,0.0,0.008143467397241366
非侵入窃盗すり,0.0,0.0,0.0,0.0,0.0,0.024724708181745214,0.03266491121646098,0.0,0.0,0.02742712264686631
非侵入窃盗その他,0.0003148844613272139,0.01268873681194016,0.009846691171913058,0.002852935095954745,0.0,0.019740957345427468,0.024683675072092015,0.013527217060081753,0.0,0.024461327130391286
非侵入窃盗ひったくり,0.0,0.009494576649108133,0.0,0.0,0.0006746702457949283,0.0,0.0,0.021353962514775837,0.0,0.0019849351625529366
非侵入窃盗オートバイ盗,0.0009064513821668285,0.0017014785231861396,0.019132799570026116,0.0,0.011781929186853723,0.0013051534042913815,0.0,0.0,0.0,0.014622455156112046
非侵入窃盗万引き,0.0,0.004173008997039318,0.0,0.0,0.0,0.005450261284172697,0.007526055221207528,0.0013745724616800459,0.0,0.006858233059043428
非侵入窃盗工事場ねらい,0.0037868892378245533,0.0,0.0,0.0,0.0,0.0,0.0027450510296302966,0.017364273513171824,0.0,0.0
非侵入窃盗置引き,0.00024039805406417258,0.002579276243082518,0.0,0.0,0.020701724088619144,0.0,0.04487215983203452,0.0,0.01360568082942315,0.0
非侵入窃盗自動車盗,0.0,0.0,0.01751943980324011,0.0013365134781508914,0.007912245287013064,0.0,0.0,0.011960593418663734,0.0,0.0
非侵入窃盗自販機ねらい,0.0,0.02010461515021511,0.00033746582130156355,0.013262928295119103,0.0,0.0,0.011821636778428513,0.0,0.0,0.003841347216009261
非侵入窃盗自転車盗,0.001480515020845008,0.0,0.005784733072199177,0.0,0.0,0.025081041528745907,0.0,0.015862529059021302,0.01214060066939604,0.0
非侵入窃盗計,0.0,0.008654117566137653,0.004492177756064031,0.0,0.0,0.008905935326373182,0.023387200484770165,0.0,0.00932951827991424,0.025675752266539398
非侵入窃盗車上ねらい,0.0014486554843102795,0.0,0.0,0.015939014713992172,0.0,0.0,0.0,0.0,0.015500949683223908,0.02160697022618141
