,休校区分_調査なし,休校区分_開校中,学校分類_中学校,学校分類_中等教育学校,学校分類_各種学校,学校分類_大学,学校分類_専修学校,学校分類_小学校,学校分類_幼保連携型認定こども園,学校分類_幼稚園,学校分類_特別支援学校,学校分類_短期大学,学校分類_義務教育学校,学校分類_高等学校,学校分類_高等専門学校,管理者コード_その他,管理者コード_国,管理者コード_市区町村,管理者コード_民間,管理者コード_都道府県
その他その他刑法犯,0.01454,0.00000,0.02089,0.00000,0.00000,0.00000,0.00000,0.01817,0.00282,0.00000,0.00570,0.01356,0.03207,0.00716,0.00027,0.00000,0.00000,0.02326,0.00893,0.00179
その他その他知能犯,0.00000,0.00000,0.01601,0.00000,0.00696,0.00000,0.01652,0.00000,0.00000,0.00858,0.00000,0.00000,0.00046,0.01780,0.00000,0.00000,0.00087,0.00000,0.00000,0.00092
その他占有離脱物横領,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00489,0.00913,0.01895,0.00000,0.00442,0.00546,0.00000,0.00628,0.01059,0.00549,0.00134,0.00000,0.00000,0.01763
その他計,0.02219,0.01738,0.00732,0.00518,0.00054,0.00329,0.00875,0.00039,0.00000,0.00000,0.00000,0.00189,0.00000,0.01659,0.00135,0.00625,0.00245,0.00368,0.00498,0.00649
その他詐欺,0.00419,0.00000,0.00000,0.00000,0.00000,0.00830,0.01662,0.00000,0.00828,0.00000,0.00000,0.00000,0.01404,0.01746,0.00426,0.00000,0.00000,0.01560,0.02000,0.00000
その他賭博,0.00000,0.00000,0.00230,0.00000,0.00704,0.00000,0.00000,0.00000,0.00787,0.00000,0.02191,0.00000,0.00000,0.00680,0.00000,0.00000,0.00221,0.00461,0.00000,0.02408
侵入窃盗その他,0.00000,0.01316,0.00000,0.00796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00234,0.00230,0.00035,0.00571,0.00081,0.00576,0.00000,0.00775,0.00000,0.00038,0.00615
侵入窃盗事務所荒し,0.00837,0.00543,0.02295,0.00000,0.00000,0.00000,0.01177,0.00000,0.00000,0.00000,0.02112,0.00000,0.00000,0.00000,0.00674,0.00000,0.00245,0.00000,0.00975,0.02524
侵入窃盗出店荒し,0.00000,0.00124,0.02404,0.00000,0.00000,0.00999,0.00226,0.01071,0.00308,0.01025,0.00939,0.01650,0.01841,0.00517,0.00053,0.00635,0.01571,0.01150,0.00000,0.00000
侵入窃盗学校荒し,0.00327,0.00195,0.00000,0.00000,0.00471,0.01711,0.02450,0.01423,0.00431,0.01082,0.00682,0.01354,0.00000,0.00000,0.00582,0.00277,0.00684,0.00000,0.00000,0.00000
侵入窃盗居空き,0.00000,0.00686,0.00000,0.00712,0.00000,0.00000,0.01083,0.00000,0.00343,0.00000,0.00000,0.00000,0.00000,0.00883,0.01147,0.00642,0.00660,0.00000,0.02592,0.00094
