市区町丁,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
新宿区上落合１丁目,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,3,0,1,0,1,0,0,0
新宿区上落合２丁目,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,1
新宿区上落合３丁目,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,1,0
新宿区下宮比町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区下落合１丁目,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
新宿区下落合２丁目,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
新宿区下落合３丁目,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,1,1,0,0,0,1,0,0,0
新宿区下落合４丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
新宿区中井１丁目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
新宿区中井２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区中落合１丁目,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1
新宿区中落合２丁目,0,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,2,0,0,1,0,0,1,0
新宿区中落合３丁目,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,1,0,2,0
新宿区中落合４丁目,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新宿区住吉町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
新宿区余丁町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0
新宿区信濃町,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
新宿区内藤町,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,2,0
新宿区北新宿１丁目,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,4,2,2,1,2,1,2,3,1
新宿区北新宿２丁目,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1
新宿区北新宿３丁目,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0
新宿区北新宿４丁目,0,0,0,1,0,0,0,1,1,1,1,0,3,0,0,3,1,0,0,0,0,2,2,0
