罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2018-03-25,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,東陽交番,131083,東京都,江東区,東陽５丁目,2017-10-01,17,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,深川,千田交番,131083,東京都,江東区,扇橋３丁目,2018-12-16,11,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,豊洲交番,131083,東京都,江東区,豊洲５丁目,2018-08-07,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2018-01-01,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,丸の内,有楽町駅前交番,131016,東京都,千代田区,大手町１丁目,2018-11-16,07,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-04-11,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-08-07,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-09-04,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-12-06,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神田,お茶の水交番,131016,東京都,千代田区,神田駿河台４丁目,2018-01-29,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,万世橋,岩本町交番,131016,東京都,千代田区,神田東松下町,2018-05-27,16,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,万世橋,秋葉原交番,131016,東京都,千代田区,神田練塀町,2018-02-03,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,万世橋,秋葉原交番,131016,東京都,千代田区,外神田２丁目,2018-03-29,20,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,築地,銀座八丁目交番,131024,東京都,中央区,銀座７丁目,2018-11-21,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,月島,勝どき橋交番,131024,東京都,中央区,勝どき６丁目,2014-12-01,10,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高輪,白金三光町交番,131032,東京都,港区,白金台５丁目,2018-10-10,18,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,麻布,一之橋交番,131032,東京都,港区,東麻布２丁目,2018-10-21,21,４階建て以上共同住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,麻布,盛岡町交番,131032,東京都,港区,南麻布５丁目,2018-08-17,03,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,麻布,六本木交番,131032,東京都,港区,六本木４丁目,2018-11-03,22,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-03-06,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2014-10-17,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳１丁目,2017-12-22,20,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東京湾岸,新木場駅前交番,131083,東京都,江東区,新木場１丁目,2018-06-25,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,品川,青物横丁駅前交番,131091,東京都,品川区,東品川４丁目,2018-06-21,15,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大井,大井町駅前交番,131091,東京都,品川区,大井１丁目,2018-06-15,21,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2017-07-01,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,荏原,旗の台交番,131091,東京都,品川区,旗の台４丁目,2016-11-01,00,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,荏原,旗の台交番,131091,東京都,品川区,旗の台４丁目,2018-01-10,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,森ケ崎交番,131113,東京都,大田区,大森東２丁目,2018-05-24,03,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,大森,森ケ崎交番,131113,東京都,大田区,大森東５丁目,2018-08-07,19,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,大森,森ケ崎交番,131113,東京都,大田区,大森南２丁目,2018-09-21,22,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,森ケ崎交番,131113,東京都,大田区,大森南５丁目,2018-10-08,01,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,谷戸交番,131113,東京都,大田区,大森中３丁目,2018-09-25,19,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森西交番,131113,東京都,大田区,大森西７丁目,2018-03-03,22,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森西交番,131113,東京都,大田区,大森東３丁目,2017-12-27,02,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,大森北３丁目,2018-09-17,04,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,大森北６丁目,2018-01-25,20,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2018-02-24,22,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2018-03-04,19,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2018-10-08,19,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,昭和島２丁目,2018-10-01,07,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森海岸交番,131113,東京都,大田区,平和島１丁目,2018-10-16,09,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,大森,大森駅前交番,131113,東京都,大田区,大森北１丁目,2018-05-05,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大森,山王交番,131113,東京都,大田区,山王３丁目,2017-12-22,22,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,田園調布,洗足池交番,131113,東京都,大田区,上池台１丁目,2018-04-03,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,田園調布,小池駐在所,131113,東京都,大田区,上池台４丁目,2018-01-01,13,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,蒲田,蒲田駅西口交番,131113,東京都,大田区,西蒲田８丁目,2018-02-26,22,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,蒲田,西六郷交番,131113,東京都,大田区,新蒲田３丁目,2018-03-24,21,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,蒲田,西六郷交番,131113,東京都,大田区,西六郷４丁目,2018-05-11,22,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,蒲田,雑色交番,131113,東京都,大田区,仲六郷１丁目,2018-11-26,19,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,蒲田,日の出通交番,131113,東京都,大田区,南蒲田２丁目,2018-06-28,10,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,蒲田,本羽田交番,131113,東京都,大田区,萩中１丁目,2018-03-11,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,蒲田,北糀谷交番,131113,東京都,大田区,西糀谷２丁目,2018-06-29,18,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,池上,池上駅前交番,131113,東京都,大田区,池上６丁目,2018-12-17,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,池上,蓮沼交番,131113,東京都,大田区,西蒲田３丁目,2018-10-05,21,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,池上,多摩川大橋交番,131113,東京都,大田区,多摩川２丁目,2018-12-03,17,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,池上,千鳥交番,131113,東京都,大田区,下丸子３丁目,2018-05-05,14,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,世田谷,三軒茶屋交番,131121,東京都,世田谷区,太子堂４丁目,2018-03-15,01,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,世田谷,下馬四丁目交番,131121,東京都,世田谷区,下馬１丁目,2017-06-04,09,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,世田谷,下馬四丁目交番,131121,東京都,世田谷区,下馬２丁目,2017-11-01,00,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,世田谷,上馬交番,131121,東京都,世田谷区,駒沢２丁目,2018-07-15,05,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,世田谷,上馬交番,131121,東京都,世田谷区,弦巻２丁目,2018-09-29,15,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,世田谷,世田谷交番,131121,東京都,世田谷区,世田谷４丁目,2017-10-01,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,北沢,宮前橋交番,131121,東京都,世田谷区,代田２丁目,2018-10-17,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,玉川,二子玉川交番,131121,東京都,世田谷区,玉川３丁目,2018-04-18,16,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,玉川,用賀交番,131121,東京都,世田谷区,用賀４丁目,2018-02-24,21,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,玉川,深沢交番,131121,東京都,世田谷区,駒沢公園,2018-03-13,18,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,成城,上祖師谷駐在所,131121,東京都,世田谷区,上祖師谷５丁目,2018-06-11,19,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,目黒,中目黒駅前交番,131105,東京都,目黒区,上目黒２丁目,2018-12-01,10,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,碑文谷,原町交番,131105,東京都,目黒区,原町１丁目,2018-09-05,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,碑文谷,原町交番,131105,東京都,目黒区,南１丁目,2018-07-05,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,碑文谷,本町二丁目交番,131105,東京都,目黒区,目黒本町３丁目,2018-01-07,00,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,碑文谷,本町二丁目交番,131105,東京都,目黒区,目黒本町５丁目,2018-06-17,15,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,渋谷,宇田川交番,131130,東京都,渋谷区,宇田川町,2018-05-06,01,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,渋谷,宇田川交番,131130,東京都,渋谷区,神南１丁目,2018-03-16,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,代々木,幡ケ谷駅前交番,131130,東京都,渋谷区,幡ヶ谷２丁目,2018-07-02,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,代々木,代々木上原駅前交番,131130,東京都,渋谷区,上原１丁目,2018-06-30,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,代々木,初台二丁目交番,131130,東京都,渋谷区,初台１丁目,2018-08-03,19,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,牛込,柳町交番,131041,東京都,新宿区,市谷加賀町２丁目,2017-09-08,13,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,牛込,神楽坂上交番,131041,東京都,新宿区,神楽河岸,2018-02-05,09,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新宿,北新宿一丁目交番,131041,東京都,新宿区,北新宿１丁目,2018-03-03,10,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
