罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,日本橋兜町,2022/8/25,9,道路上,その他,65-69歳,その他,施錠せず,中央区日本橋兜町,35.681076,139.777678, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀１丁目,2022/3/29,9,その他の住宅（３階建て以下共同住宅等）,その他,40歳代,その他,施錠せず,中央区八丁堀１丁目,35.677565,139.776823, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀２丁目,2022/5/30,5,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず,中央区八丁堀２丁目,35.67656,139.776403, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/1/26,12,道路上,その他,30歳代,その他,施錠せず,中央区八丁堀３丁目,35.675598,139.77503, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/3/14,3,道路上,その他,40歳代,その他,施錠した,中央区八丁堀３丁目,35.675598,139.77503, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/4/12,22,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した,中央区八丁堀３丁目,35.675598,139.77503, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2022/5/12,16,４階建て以上共同住宅,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず,中央区八丁堀３丁目,35.675598,139.77503, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2022/5/10,22,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず,中央区八丁堀４丁目,35.674321,139.776477, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2022/5/24,20,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した,中央区八丁堀４丁目,35.674321,139.776477, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2022/7/10,0,道路上,その他,30歳代,その他,施錠せず,中央区八丁堀４丁目,35.674321,139.776477, 中央警察署 八丁堀交番,,
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,京橋２丁目,2022/6/22,10,道路上,その他,40歳代,その他,施錠せず,中央区京橋２丁目,35.676656,139.771221, 中央警察署 八重洲通交番,,
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,京橋２丁目,2022/7/2,22,道路上,その他,20歳代,その他,施錠した,中央区京橋２丁目,35.676656,139.771221, 中央警察署 八重洲通交番,,
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,日本橋３丁目,2022/8/24,11,道路上,その他,40歳代,その他,施錠した,中央区日本橋３丁目,35.679541,139.773747, 中央警察署 八重洲通交番,,
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,八重洲１丁目,2022/4/17,17,道路上,その他,30歳代,その他,施錠した,中央区八重洲１丁目,35.682265,139.770922, 中央警察署 八重洲通交番,,
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2022/4/1,7,道路上,その他,50歳代,その他,施錠した,中央区八重洲２丁目,35.677927,139.768247, 中央警察署 八重洲通交番,,
窃盗,自転車盗,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2022/7/19,19,道路上,その他,70歳以上,その他,施錠せず,中央区八重洲２丁目,35.677927,139.768247, 中央警察署 八重洲通交番,,
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋１丁目,2022/5/27,11,道路上,その他,50歳代,その他,施錠せず,中央区日本橋１丁目,35.682904,139.775351, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋２丁目,2021/11/11,18,道路上,その他,40歳代,その他,施錠せず,中央区日本橋２丁目,35.681272,139.774266, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋３丁目,2022/9/15,21,道路上,その他,10歳代,中学生,施錠せず,中央区日本橋３丁目,35.679541,139.773747, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋小伝馬町,2022/4/12,22,道路上,その他,65-69歳,その他,施錠せず,中央区日本橋小伝馬町,35.691464,139.778699, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋堀留町１丁目,2022/6/15,22,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,中央区日本橋堀留町１丁目,35.687931,139.779894, 中央警察署 日本橋交番,35.68364415,139.77479895218778
