罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,オートバイ盗,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2022/10/18,7,道路上,その他,キーあり,なし,自動二輪（50cc超）,中央区日本橋本町４丁目,35.690183,139.775106, 中央警察署 本町交番,35.690625,139.774905
窃盗,オートバイ盗,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2022/10/17,21,道路上,その他,キーあり,なし,自動二輪（50cc超）,江東区東陽３丁目,35.669582,139.812579, 深川警察署 東陽交番,35.669157,139.812152
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2022/6/19,3,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）,江東区枝川１丁目,35.656617,139.803432, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/10/21,14,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）,江東区潮見１丁目,35.65574,139.811361, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/12/4,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）,江東区潮見１丁目,35.65574,139.811361, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,オートバイ盗,深川,豊洲交番,131083,東京都,江東区,豊洲３丁目,2022/7/22,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）,江東区豊洲３丁目,35.658936,139.79692, 深川警察署 豊洲交番,,
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,富岡１丁目,2022/5/15,14,一戸建住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）,江東区富岡１丁目,35.671463,139.798098, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,牡丹１丁目,2022/9/12,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）,江東区牡丹１丁目,35.670547,139.793901, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,牡丹１丁目,2022/10/8,15,道路上,その他,キーなし,なし,自動二輪（50cc超）,江東区牡丹１丁目,35.670547,139.793901, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,オートバイ盗,深川,門前仲町交番,131083,東京都,江東区,牡丹１丁目,2022/10/9,1,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）,江東区牡丹１丁目,35.670547,139.793901, 深川警察署 門前仲町交番,35.672684,139.794876
