罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,自動車盗,中央,八重洲通交番,131024.0,東京都,中央区,八重洲１丁目,2022/3/21,5,道路上,その他,キーあり,なし,貨物自動車,中央区八重洲１丁目,35.682265,139.770922, 中央警察署 八重洲通交番,,
窃盗,自動車盗,深川,森下交番,131083.0,東京都,江東区,常盤２丁目,2022/4/12,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車,江東区常盤２丁目,35.684826,139.797281, 深川警察署 森下交番,35.687988,139.800988
窃盗,自動車盗,麹町,目黒駅前交番,131091.0,東京都,品川区,上大崎３丁目,2022/5/9,0,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車,品川区上大崎３丁目,35.6316729,139.7185743, 麹町警察署 目黒駅前交番,,
窃盗,自動車盗,麹町,青物横丁駅前交番,131091.0,東京都,品川区,東品川４丁目,2022/5/9,23,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車,品川区東品川４丁目,35.6095108,139.7486177, 麹町警察署 青物横丁駅前交番,,
窃盗,自動車盗,万世橋,秋葉原交番,131016.0,東京都,千代田区,神田花岡町,2022/10/16,4,道路上,その他,キーなし,あり,特殊自動車,千代田区神田花岡町,35.698802,139.773971, 万世橋警察署 秋葉原交番,,
窃盗,自動車盗,万世橋,台東交番,131067.0,東京都,台東区,台東１丁目,2022/2/21,18,道路上,その他,キーあり,なし,貨物自動車,台東区台東１丁目,35.7013831,139.7787228, 万世橋警察署 台東交番,,
窃盗,自動車盗,高輪,白金三光町交番,131032.0,東京都,港区,白金台４丁目,2022/5/4,0,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車,港区白金台４丁目,35.6393691,139.7260067, 高輪警察署 白金三光町交番,35.644574,139.725354
窃盗,自動車盗,麻布,西麻布交番,131032.0,東京都,港区,西麻布３丁目,2022/8/26,5,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車,港区西麻布３丁目,35.657877,139.7259705, 麻布警察署 西麻布交番,35.659572,139.723771
窃盗,自動車盗,東京湾岸,お台場海浜公園駅前交番,131032.0,東京都,港区,台場１丁目,2022/9/9,0,その他,駐車（輪）場,キーなし,なし,乗用自動車,港区台場１丁目,35.6308488,139.7783151, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,自動車盗,品川,天王洲交番,131091.0,東京都,品川区,東品川１丁目,2022/3/5,23,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,品川区東品川１丁目,35.6206661,139.7456149, 品川警察署 天王洲交番,35.622105,139.750548
窃盗,自動車盗,品川,天王洲交番,131091.0,東京都,品川区,東品川３丁目,2022/8/23,16,その他,駐車（輪）場,キーあり,あり,乗用自動車,品川区東品川３丁目,35.6149535,139.7491354, 品川警察署 天王洲交番,35.622105,139.750548
窃盗,自動車盗,品川,青物横丁駅前交番,131091.0,東京都,品川区,東品川３丁目,2022/10/3,21,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,品川区東品川３丁目,35.6149535,139.7491354, 品川警察署 青物横丁駅前交番,,
窃盗,自動車盗,大崎,五反田駅前交番,131091.0,東京都,品川区,東五反田４丁目,2022/10/28,19,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,品川区東五反田４丁目,35.6305338,139.7277515, 大崎警察署 五反田駅前交番,,
窃盗,自動車盗,荏原,江戸見坂交番,131091.0,東京都,品川区,小山６丁目,2022/5/11,0,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,品川区小山６丁目,35.614066,139.6986119, 荏原警察署 江戸見坂交番,35.6122273,139.700573
窃盗,自動車盗,大森,森ケ崎交番,131113.0,東京都,大田区,大森東５丁目,2022/5/8,19,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,大田区大森東５丁目,35.5691499,139.7433136, 大森警察署 森ケ崎交番,35.5636528,139.7443903363457
窃盗,自動車盗,大森,森ケ崎交番,131113.0,東京都,大田区,大森南２丁目,2022/5/26,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車,大田区大森南２丁目,35.5624942,139.7437254, 大森警察署 森ケ崎交番,35.5636528,139.7443903363457
窃盗,自動車盗,大森,,,,,,2022/3/16,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車,nannan,,, 大森警察署 nan,,
窃盗,自動車盗,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,蒲田５丁目,2022/11/19,4,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,乗用自動車,大田区蒲田５丁目,35.5618058,139.7189189, 蒲田警察署 蒲田駅東口交番,35.562722,139.716692
窃盗,自動車盗,池上,南馬込交番,131113.0,東京都,大田区,東馬込２丁目,2022/2/24,20,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車,大田区東馬込２丁目,35.5936188,139.7170159, 池上警察署 南馬込交番,35.5872526,139.7140689
窃盗,自動車盗,池上,南馬込交番,131113.0,東京都,大田区,南馬込３丁目,2022/4/21,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車,大田区南馬込３丁目,35.5854873,139.7180325, 池上警察署 南馬込交番,35.5872526,139.7140689
窃盗,自動車盗,池上,西馬込交番,131113.0,東京都,大田区,仲池上２丁目,2022/8/6,1,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,大田区仲池上２丁目,35.5829646,139.7011815, 池上警察署 西馬込交番,35.5869344,139.7057815
窃盗,自動車盗,池上,西馬込交番,131113.0,東京都,大田区,南馬込５丁目,2022/1/12,21,道路上,その他,キーあり,あり,乗用自動車,大田区南馬込５丁目,35.5884495,139.7094306, 池上警察署 西馬込交番,35.5869344,139.7057815
窃盗,自動車盗,東京空港,第１ターミナル交番,131113.0,東京都,大田区,羽田空港３丁目,2022/4/26,6,その他,駐車（輪）場,キーあり,あり,乗用自動車,大田区羽田空港３丁目,35.5440559,139.786874, 東京空港警察署 第１ターミナル交番,35.5472022,139.7856682
窃盗,自動車盗,東京空港,第１ターミナル交番,131113.0,東京都,大田区,羽田空港３丁目,2022/4/26,6,その他,駐車（輪）場,キーなし,あり,乗用自動車,大田区羽田空港３丁目,35.5440559,139.786874, 東京空港警察署 第１ターミナル交番,35.5472022,139.7856682
窃盗,自動車盗,世田谷,世田谷交番,131121.0,東京都,世田谷区,世田谷１丁目,2022/2/23,3,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,世田谷区世田谷１丁目,35.6413833,139.6492901, 世田谷警察署 世田谷交番,35.6427105,139.6512007
窃盗,自動車盗,世田谷,松ケ丘交番,131121.0,東京都,世田谷区,弦巻４丁目,2022/3/6,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,世田谷区弦巻４丁目,35.6367359,139.6424961, 世田谷警察署 松ケ丘交番,35.640072,139.640751
窃盗,自動車盗,世田谷,若林交番,131121.0,東京都,世田谷区,上馬５丁目,2022/11/29,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,世田谷区上馬５丁目,35.6399501,139.6578893, 世田谷警察署 若林交番,35.642295,139.660582
窃盗,自動車盗,世田谷,馬事公苑駐在所,131121.0,東京都,世田谷区,上用賀２丁目,2022/8/3,17,道路上,その他,キーあり,なし,乗用自動車,世田谷区上用賀２丁目,35.6371609,139.6335804, 世田谷警察署 馬事公苑駐在所,,
窃盗,自動車盗,北沢,宮前橋交番,131121.0,東京都,世田谷区,梅丘１丁目,2022/2/25,8,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,世田谷区梅丘１丁目,35.6545807,139.652887, 北沢警察署 宮前橋交番,35.6558809,139.6597884
窃盗,自動車盗,北沢,宮前橋交番,131121.0,東京都,世田谷区,代田３丁目,2022/3/2,2,一戸建住宅,駐車（輪）場,キーなし,あり,なし,世田谷区代田３丁目,35.6544522,139.6578115, 北沢警察署 宮前橋交番,35.6558809,139.6597884
窃盗,自動車盗,北沢,淡島通交番,131121.0,東京都,世田谷区,代沢２丁目,2022/11/27,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,世田谷区代沢２丁目,35.6585276,139.6720527, 北沢警察署 淡島通交番,,
窃盗,自動車盗,玉川,深沢交番,131121.0,東京都,世田谷区,深沢７丁目,2022/4/28,17,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車,世田谷区深沢７丁目,35.6125463,139.6548688, 玉川警察署 深沢交番,35.620908,139.653389
窃盗,自動車盗,玉川,瀬田交番,131121.0,東京都,世田谷区,用賀１丁目,2022/2/22,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,世田谷区用賀１丁目,35.6233174,139.6398246, 玉川警察署 瀬田交番,35.6201597,139.6305444
窃盗,自動車盗,成城,千歳台交番,131121.0,東京都,世田谷区,千歳台４丁目,2022/5/27,1,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,世田谷区千歳台４丁目,35.6566076,139.6138018, 成城警察署 千歳台交番,35.658237,139.6092004
窃盗,自動車盗,成城,大蔵二丁目交番,131121.0,東京都,世田谷区,砧５丁目,2022/7/12,22,一戸建住宅,その他,キーなし,あり,乗用自動車,世田谷区砧５丁目,35.6372089,139.6092501, 成城警察署 大蔵二丁目交番,,
窃盗,自動車盗,目黒,油面交番,131105.0,東京都,目黒区,中町１丁目,2022/12/9,17,その他,駐車（輪）場,キーなし,なし,乗用自動車,目黒区中町１丁目,35.6313077,139.6973848, 目黒警察署 油面交番,35.6307031,139.701278
窃盗,自動車盗,目黒,市野倉交番,131113.0,東京都,大田区,中央６丁目,2022/12/2,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,乗用自動車,大田区中央６丁目,35.5778655,139.7129966, 目黒警察署 市野倉交番,,
窃盗,自動車盗,碑文谷,中根交番,131105.0,東京都,目黒区,八雲３丁目,2022/8/31,13,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,目黒区八雲３丁目,35.6170881,139.6667272, 碑文谷警察署 中根交番,35.614826,139.669888
窃盗,自動車盗,碑文谷,学芸大学駅前交番,131105.0,東京都,目黒区,碑文谷４丁目,2022/2/25,0,一戸建住宅,その他,キーなし,あり,乗用自動車,目黒区碑文谷４丁目,35.6203685,139.6836331, 碑文谷警察署 学芸大学駅前交番,35.6288802,139.6852299
窃盗,自動車盗,碑文谷,柿の木坂交番,131105.0,東京都,目黒区,東が丘１丁目,2022/9/1,15,一戸建住宅,駐車（輪）場,キーなし,あり,なし,目黒区東が丘１丁目,35.6286491,139.6691224, 碑文谷警察署 柿の木坂交番,35.6260088,139.6703183
窃盗,自動車盗,代々木,代々木上原駅前交番,131130.0,東京都,渋谷区,西原１丁目,2021/11/16,0,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,渋谷区西原１丁目,35.675435,139.6815893, 代々木警察署 代々木上原駅前交番,,
窃盗,自動車盗,代々木,清水橋交番,131130.0,東京都,渋谷区,本町３丁目,2022/4/11,23,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,渋谷区本町３丁目,35.6889569,139.6819702, 代々木警察署 清水橋交番,35.6888569,139.6826734
窃盗,自動車盗,新宿,淀橋市場前交番,131041.0,東京都,新宿区,北新宿３丁目,2022/1/27,14,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,新宿区北新宿３丁目,35.7038073,139.6915001, 新宿警察署 淀橋市場前交番,35.7064252,139.6945035
窃盗,自動車盗,新宿,淀橋市場前交番,131041.0,東京都,新宿区,北新宿４丁目,2022/12/1,15,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,新宿区北新宿４丁目,35.7067368,139.6918595, 新宿警察署 淀橋市場前交番,35.7064252,139.6945035
