罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,部品ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋小舟町,2022/4/20,19,道路上,その他,ナンバープレート,中央区日本橋小舟町,35.686858,139.778267, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,部品ねらい,中央,本町交番,131024,東京都,中央区,日本橋本石町４丁目,2022/8/3,15,その他,その他,その他,中央区日本橋本石町４丁目,35.688585,139.770806, 中央警察署 本町交番,35.690625,139.774905
窃盗,部品ねらい,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2022/6/1,不明,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,江東区猿江２丁目,35.686117,139.817189, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,部品ねらい,深川,千田交番,131083,東京都,江東区,千石３丁目,2022/7/19,6,一戸建住宅,駐車（輪）場,その他,江東区千石３丁目,35.678053,139.818725, 深川警察署 千田交番,35.6806,139.815818
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2022/3/9,12,その他,駐車（輪）場,その他,江東区東陽４丁目,35.671936,139.817849, 深川警察署 東陽交番,35.669157,139.812152
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,枝川２丁目,2022/11/17,18,４階建て以上共同住宅,駐車（輪）場,その他,江東区枝川２丁目,35.657715,139.807178, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/1/9,23,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,江東区潮見１丁目,35.65574,139.811361, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2022/12/7,23,４階建て以上共同住宅,駐車（輪）場,その他,江東区潮見１丁目,35.65574,139.811361, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,森下３丁目,2022/10/24,9,その他,駐車（輪）場,その他,江東区森下３丁目,35.686279,139.801949, 深川警察署 森下交番,35.687988,139.800988
窃盗,部品ねらい,深川,清澄庭園前交番,131083,東京都,江東区,清澄２丁目,2022/4/10,16,駐車（輪）場,駐車（輪）場,ナンバープレート,江東区清澄２丁目,35.681383,139.795877, 深川警察署 清澄庭園前交番,35.6786139,139.7981005
窃盗,部品ねらい,深川,清澄庭園前交番,131083,東京都,江東区,冬木,2022/6/25,20,道路上,その他,その他,江東区冬木,35.674788,139.801416, 深川警察署 清澄庭園前交番,35.6786139,139.7981005
