罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,ひったくり,丸の内,有楽町駅前交番,131016,東京都,千代田区,丸の内３丁目,2022-04-20,2,道路上,男性,20歳代,なし,千代田区丸の内３丁目,35.67672365,139.76338837657545, 丸の内警察署 有楽町駅前交番,35.673905,139.762572
窃盗,ひったくり,万世橋,秋葉原交番,131016,東京都,千代田区,外神田３丁目,2022-09-10,3,道路上,男性,60-64歳,あり,千代田区外神田３丁目,35.701275,139.770496, 万世橋警察署 秋葉原交番,,
窃盗,ひったくり,万世橋,秋葉原交番,131016,東京都,千代田区,外神田４丁目,2022-08-31,21,その他,女性,20歳代,あり,千代田区外神田４丁目,35.70143,139.77237, 万世橋警察署 秋葉原交番,,
窃盗,ひったくり,久松,水天宮前交番,131024,東京都,中央区,日本橋蛎殻町１丁目,2022-10-22,9,道路上,女性,70歳以上,あり,中央区日本橋蛎殻町１丁目,35.682601,139.783679, 久松警察署 水天宮前交番,35.683761,139.7848214
窃盗,ひったくり,久松,浜町交番,131024,東京都,中央区,日本橋浜町２丁目,2022-05-31,20,道路上,女性,60-64歳,あり,中央区日本橋浜町２丁目,35.688027,139.78818, 久松警察署 浜町交番,35.687154,139.790822
窃盗,ひったくり,久松,箱崎交番,131024,東京都,中央区,日本橋箱崎町,2022-06-20,20,道路上,女性,70歳以上,あり,中央区日本橋箱崎町,35.679924,139.786005, 久松警察署 箱崎交番,35.6811783,139.7869701
窃盗,ひったくり,築地,小田原町交番,131024,東京都,中央区,築地２丁目,2022-10-26,23,道路上,女性,50歳代,あり,中央区築地２丁目,35.668618,139.772366, 築地警察署 小田原町交番,35.6652883,139.7721715
窃盗,ひったくり,築地,小田原町交番,131024,東京都,中央区,築地４丁目,2022-04-20,0,道路上,女性,65-69歳,あり,中央区築地４丁目,35.666291,139.769449, 築地警察署 小田原町交番,35.6652883,139.7721715
窃盗,ひったくり,愛宕,新橋駅前交番,131032,東京都,港区,新橋１丁目,2022-10-22,0,道路上,女性,30歳代,あり,港区新橋１丁目,35.6680092,139.7584668, 愛宕警察署 新橋駅前交番,35.6667614,139.7576673
窃盗,ひったくり,愛宕,浜松町交番,131032,東京都,港区,浜松町１丁目,2022-04-20,0,道路上,男性,40歳代,なし,港区浜松町１丁目,35.6585962,139.7571015, 愛宕警察署 浜松町交番,35.653373349999995,139.7544692760219
窃盗,ひったくり,東京湾岸,第五台場交番,131032,東京都,港区,港南５丁目,2022-12-22,20,その他,男性,50歳代,なし,港区港南５丁目,35.6289074,139.756372, 東京湾岸警察署 第五台場交番,35.632323,139.7552577
窃盗,ひったくり,品川,御殿山交番,131091,東京都,品川区,東五反田２丁目,2022-06-29,4,道路上,女性,20歳代,なし,品川区東五反田２丁目,35.624256,139.7288378, 品川警察署 御殿山交番,35.6231877,139.7351861
窃盗,ひったくり,荏原,戸越交番,131091,東京都,品川区,戸越５丁目,2022-10-21,14,道路上,女性,70歳以上,あり,品川区戸越５丁目,35.6099076,139.7175001, 荏原警察署 戸越交番,35.611725,139.71556616041408
窃盗,ひったくり,田園調布,石川台交番,131113,東京都,大田区,南雪谷１丁目,2022-08-31,3,道路上,女性,40歳代,あり,大田区南雪谷１丁目,35.5945719,139.6835634, 田園調布警察署 石川台交番,35.5977359,139.6839764
窃盗,ひったくり,蒲田,日の出通交番,131113,東京都,大田区,西糀谷１丁目,2022-04-27,2,道路上,女性,20歳代,あり,大田区西糀谷１丁目,35.558679,139.7306925, 蒲田警察署 日の出通交番,,
窃盗,ひったくり,池上,蓮沼交番,131113,東京都,大田区,東矢口３丁目,2022-12-01,2,道路上,男性,20歳代,あり,大田区東矢口３丁目,35.5622553,139.706511, 池上警察署 蓮沼交番,35.564591,139.7087723
窃盗,ひったくり,世田谷,三宿交番,131121,東京都,世田谷区,池尻２丁目,2022-04-23,8,道路上,男性,20歳代,なし,世田谷区池尻２丁目,35.6477436,139.6819863, 世田谷警察署 三宿交番,35.6451493,139.6792414
窃盗,ひったくり,成城,船橋交番,131121,東京都,世田谷区,八幡山１丁目,2022-10-04,17,道路上,女性,50歳代,あり,世田谷区八幡山１丁目,35.6620296,139.6212825, 成城警察署 船橋交番,35.6569345,139.6230995
窃盗,ひったくり,目黒,宿山交番,131105,東京都,目黒区,東山１丁目,2022-01-26,16,道路上,女性,10歳代,あり,目黒区東山１丁目,35.6465579,139.692986, 目黒警察署 宿山交番,35.6447811,139.6899532
窃盗,ひったくり,碑文谷,本町二丁目交番,131105,東京都,目黒区,目黒本町４丁目,2022-10-20,13,道路上,女性,50歳代,あり,目黒区目黒本町４丁目,35.6228879,139.6961778, 碑文谷警察署 本町二丁目交番,35.627492,139.693219
窃盗,ひったくり,碑文谷,自由が丘交番,131105,東京都,目黒区,自由が丘１丁目,2022-08-04,3,道路上,女性,20歳代,あり,目黒区自由が丘１丁目,35.6100712,139.6703187, 碑文谷警察署 自由が丘交番,35.6076625,139.6686316
窃盗,ひったくり,渋谷,東交番,131130,東京都,渋谷区,東１丁目,2022-09-26,13,その他,女性,70歳以上,なし,渋谷区東１丁目,35.6553806,139.7084784, 渋谷警察署 東交番,35.653794,139.707911
窃盗,ひったくり,渋谷,渋谷駅前交番,131130,東京都,渋谷区,桜丘町,2022-07-07,21,道路上,女性,20歳代,なし,渋谷区桜丘町,35.6556312,139.7009039, 渋谷警察署 渋谷駅前交番,35.6593164,139.7010358
窃盗,ひったくり,渋谷,道玄坂上交番,131130,東京都,渋谷区,神泉町,2022-04-16,21,道路上,女性,20歳代,なし,渋谷区神泉町,35.6563738,139.6925133, 渋谷警察署 道玄坂上交番,,
窃盗,ひったくり,新宿,大久保交番,131041,東京都,新宿区,大久保２丁目,2022-01-31,3,道路上,女性,30歳代,あり,新宿区大久保２丁目,35.7026693,139.7061959, 新宿警察署 大久保交番,,
窃盗,ひったくり,新宿,大久保交番,131041,東京都,新宿区,大久保２丁目,2022-06-04,4,道路上,男性,20歳代,あり,新宿区大久保２丁目,35.7026693,139.7061959, 新宿警察署 大久保交番,,
窃盗,ひったくり,新宿,新宿駅東口交番,131041,東京都,新宿区,新宿３丁目,2022-10-18,2,道路上,男性,65-69歳,あり,新宿区新宿３丁目,35.691229,139.7038262, 新宿警察署 新宿駅東口交番,35.6917673,139.7011426
窃盗,ひったくり,新宿,新宿駅東口交番,131041,東京都,新宿区,新宿３丁目,2022-12-01,17,道路上,女性,20歳代,あり,新宿区新宿３丁目,35.691229,139.7038262, 新宿警察署 新宿駅東口交番,35.6917673,139.7011426
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-06-04,4,道路上,男性,30歳代,あり,新宿区歌舞伎町２丁目,35.696554,139.7043747, 新宿警察署 歌舞伎町交番,35.696151,139.701632
