罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,車上ねらい,中央,八重洲通交番,131024.0,東京都,中央区,八重洲１丁目,2022/7/9,11,道路上,その他,施錠せず,あり,中央区八重洲１丁目,35.682265,139.770922, 中央警察署 八重洲通交番,,
窃盗,車上ねらい,中央,八重洲通交番,131024.0,東京都,中央区,八重洲２丁目,2022/4/3,11,道路上,その他,施錠せず,あり,中央区八重洲２丁目,35.677927,139.768247, 中央警察署 八重洲通交番,,
窃盗,車上ねらい,中央,八重洲通交番,131024.0,東京都,中央区,八重洲２丁目,2022/4/3,13,駐車（輪）場,駐車（輪）場,施錠せず,なし,中央区八重洲２丁目,35.677927,139.768247, 中央警察署 八重洲通交番,,
窃盗,車上ねらい,中央,八重洲通交番,131024.0,東京都,中央区,八重洲２丁目,2022/10/18,22,道路上,その他,施錠せず,あり,中央区八重洲２丁目,35.677927,139.768247, 中央警察署 八重洲通交番,,
窃盗,車上ねらい,中央,日本橋交番,131024.0,東京都,中央区,日本橋２丁目,2022/1/3,14,道路上,その他,施錠せず,なし,中央区日本橋２丁目,35.681272,139.774266, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,車上ねらい,中央,日本橋交番,131024.0,東京都,中央区,日本橋堀留町２丁目,2022/5/20,7,道路上,その他,施錠せず,あり,中央区日本橋堀留町２丁目,35.688584,139.781188, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,車上ねらい,中央,日本橋交番,131024.0,東京都,中央区,日本橋本町１丁目,2022/3/16,8,道路上,その他,施錠せず,あり,中央区日本橋本町１丁目,35.685747,139.776872, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,車上ねらい,中央,日本橋交番,131024.0,東京都,中央区,日本橋室町１丁目,2022/2/21,14,道路上,その他,施錠せず,あり,中央区日本橋室町１丁目,35.685403,139.774413, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,車上ねらい,中央,本町交番,131024.0,東京都,中央区,日本橋小伝馬町,2022/5/20,7,道路上,その他,施錠せず,あり,中央区日本橋小伝馬町,35.691464,139.778699, 中央警察署 本町交番,35.690625,139.774905
窃盗,車上ねらい,中央,本町交番,131024.0,東京都,中央区,日本橋本町３丁目,2022/2/14,14,道路上,その他,施錠せず,あり,中央区日本橋本町３丁目,35.688895,139.77566, 中央警察署 本町交番,35.690625,139.774905
窃盗,車上ねらい,中央,本町交番,131024.0,東京都,中央区,日本橋本町４丁目,2022/1/12,15,道路上,その他,施錠せず,あり,中央区日本橋本町４丁目,35.690183,139.775106, 中央警察署 本町交番,35.690625,139.774905
