罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,自動販売機ねらい,深川,枝川交番,131083,東京都,江東区,潮見２丁目,2022-01-25,14,道路上,その他,あり,江東区潮見２丁目,35.658076,139.817748, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,自動販売機ねらい,麹町,九段下交番,131016,東京都,千代田区,九段南２丁目,2022-01-12,19,その他,その他,あり,千代田区九段南２丁目,35.693143,139.745694, 麹町警察署 九段下交番,35.6952122,139.7511252
窃盗,自動販売機ねらい,麹町,五味坂交番,131016,東京都,千代田区,三番町,2022-01-12,21,その他,その他,あり,千代田区三番町,35.690557,139.743591, 麹町警察署 五味坂交番,,
窃盗,自動販売機ねらい,神田,神保町交番,131016,東京都,千代田区,神田神保町３丁目,2022-11-16,16,道路上,その他,あり,千代田区神田神保町３丁目,35.695365,139.754275, 神田警察署 神保町交番,35.6948345,139.7581026
窃盗,自動販売機ねらい,久松,浜町交番,131024,東京都,中央区,日本橋浜町３丁目,2021-10-03,9,その他,その他,あり,中央区日本橋浜町３丁目,35.685222,139.789481, 久松警察署 浜町交番,35.687154,139.790822
窃盗,自動販売機ねらい,久松,浜町交番,131024,東京都,中央区,日本橋浜町３丁目,2021-10-18,9,その他,その他,あり,中央区日本橋浜町３丁目,35.685222,139.789481, 久松警察署 浜町交番,35.687154,139.790822
窃盗,自動販売機ねらい,築地,銀座八丁目交番,131024,東京都,中央区,銀座８丁目,2022-04-05,12,駐車（輪）場,駐車（輪）場,あり,中央区銀座８丁目,35.666698,139.763463, 築地警察署 銀座八丁目交番,35.66788,139.76289
窃盗,自動販売機ねらい,赤坂,赤坂見附交番,131032,東京都,港区,赤坂３丁目,2022-08-16,11,その他,その他,あり,港区赤坂３丁目,35.6756606,139.7375415, 赤坂警察署 赤坂見附交番,35.67768365,139.7366189
窃盗,自動販売機ねらい,品川,御殿山交番,131091,東京都,品川区,東五反田２丁目,2022-03-27,9,その他,その他,なし,品川区東五反田２丁目,35.624256,139.7288378, 品川警察署 御殿山交番,35.6231877,139.7351861
窃盗,自動販売機ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川２丁目,2022-08-29,16,道路上,その他,あり,品川区南品川２丁目,35.6123128,139.7433686, 品川警察署 青物横丁駅前交番,,
窃盗,自動販売機ねらい,大井,鹿島神社前交番,131091,東京都,品川区,大井３丁目,2021-12-24,8,道路上,その他,あり,品川区大井３丁目,35.6020613,139.7294292, 大井警察署 鹿島神社前交番,35.5966472,139.7296458
窃盗,自動販売機ねらい,大崎,大崎駅前交番,131091,東京都,品川区,大崎５丁目,2022-05-07,2,道路上,その他,あり,品川区大崎５丁目,35.6227342,139.7248198, 大崎警察署 大崎駅前交番,35.6193896,139.7294355
窃盗,自動販売機ねらい,荏原,源氏前交番,131091,東京都,品川区,中延４丁目,2022-08-29,11,駐車（輪）場,駐車（輪）場,あり,品川区中延４丁目,35.6051526,139.7111875, 荏原警察署 源氏前交番,35.6019323,139.7127704
窃盗,自動販売機ねらい,荏原,荏原中延駅前交番,131091,東京都,品川区,東中延２丁目,2022-05-22,9,道路上,その他,あり,品川区東中延２丁目,35.6077629,139.7132018, 荏原警察署 荏原中延駅前交番,35.6098639,139.7117903
窃盗,自動販売機ねらい,大森,大森海岸交番,131113,東京都,大田区,大森南２丁目,2022-07-29,9,その他,その他,あり,大田区大森南２丁目,35.5624942,139.7437254, 大森警察署 大森海岸交番,35.5816547,139.7367127
窃盗,自動販売機ねらい,大森,大森海岸交番,131113,東京都,大田区,平和島１丁目,2022-02-06,8,その他,その他,あり,大田区平和島１丁目,35.5858778,139.7406596, 大森警察署 大森海岸交番,35.5816547,139.7367127
窃盗,自動販売機ねらい,大森,大森海岸交番,131113,東京都,大田区,平和島６丁目,2022-05-22,15,その他,その他,あり,大田区平和島６丁目,35.5792747,139.7497898, 大森警察署 大森海岸交番,35.5816547,139.7367127
窃盗,自動販売機ねらい,大森,山王交番,131113,東京都,大田区,山王２丁目,2022-02-05,5,その他,その他,あり,大田区山王２丁目,35.5892009,139.7253817, 大森警察署 山王交番,35.59114,139.7261355
窃盗,自動販売機ねらい,蒲田,蒲田駅東口交番,131113,東京都,大田区,蒲田４丁目,2021-12-11,不明,その他,その他,あり,大田区蒲田４丁目,35.5600973,139.7214818, 蒲田警察署 蒲田駅東口交番,35.562722,139.716692
窃盗,自動販売機ねらい,池上,三本松交番,131113,東京都,大田区,北馬込１丁目,2021-12-30,18,その他,その他,あり,大田区北馬込１丁目,35.5998608,139.705697, 池上警察署 三本松交番,,
窃盗,自動販売機ねらい,池上,池上駅前交番,131113,東京都,大田区,池上４丁目,2022-11-07,13,その他,その他,あり,大田区池上４丁目,35.5745343,139.7067739, 池上警察署 池上駅前交番,,
窃盗,自動販売機ねらい,玉川,奥沢駅前交番,131121,東京都,世田谷区,奥沢２丁目,2022-11-02,17,道路上,その他,あり,世田谷区奥沢２丁目,35.6061329,139.6751118, 玉川警察署 奥沢駅前交番,35.6040197,139.6718851
窃盗,自動販売機ねらい,成城,千歳船橋駅前交番,131121,東京都,世田谷区,千歳台１丁目,2022-01-06,13,その他,その他,あり,世田谷区千歳台１丁目,35.6473022,139.6157679, 成城警察署 千歳船橋駅前交番,35.647397,139.6234683
窃盗,自動販売機ねらい,成城,千歳船橋駅前交番,131121,東京都,世田谷区,船橋１丁目,2022-06-29,12,その他,その他,あり,世田谷区船橋１丁目,35.6499984,139.6219057, 成城警察署 千歳船橋駅前交番,35.647397,139.6234683
窃盗,自動販売機ねらい,成城,喜多見駅前交番,131121,東京都,世田谷区,喜多見９丁目,2022-06-10,13,その他,その他,あり,世田谷区喜多見９丁目,35.6404656,139.5876946, 成城警察署 喜多見駅前交番,35.6371041,139.5878089
窃盗,自動販売機ねらい,成城,喜多見駐在所,131121,東京都,世田谷区,宇奈根２丁目,2022-07-14,15,その他,その他,あり,世田谷区宇奈根２丁目,35.6202606,139.600608, 成城警察署 喜多見駐在所,35.62724,139.599727
窃盗,自動販売機ねらい,成城,岡本駐在所,131121,東京都,世田谷区,岡本１丁目,2022-09-03,6,その他,その他,なし,世田谷区岡本１丁目,35.6249308,139.6206173, 成城警察署 岡本駐在所,35.627212,139.620475
