市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,latitude,longitude
千代田区丸の内１丁目,257,0,0,0,35,0,29,5,1,0,5,0,0,1,0,0,0,0,4,162,0,0,9,1,1,0,18,0,19,51,63,55,19,18,3,0,15,35.68156,139.767201
千代田区丸の内２丁目,28,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,0,0,0,0,3,10,3,7,1,1,2,0,3,35.680022,139.763447
千代田区丸の内３丁目,33,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,2,0,1,5,5,18,16,0,0,0,2,35.67672365,139.76338837657545
千代田区大手町１丁目,44,0,0,0,4,0,4,0,0,0,1,0,0,1,0,0,0,0,0,21,0,0,2,0,0,0,2,0,3,4,10,18,7,3,2,0,6,35.688069,139.763929
千代田区大手町２丁目,17,0,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,5,7,0,2,0,0,5,35.686301,139.768087
千代田区内幸町１丁目,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,1,0,1,0,4,18,14,1,0,0,3,35.670839,139.758119
千代田区内幸町２丁目,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,0,0,35.670812,139.754182
千代田区有楽町１丁目,83,0,0,0,11,0,7,4,0,0,2,0,0,2,0,0,0,0,0,49,0,0,2,1,0,0,1,0,5,23,17,21,9,4,1,0,7,35.674483,139.76055
千代田区有楽町２丁目,91,0,0,0,7,0,5,2,0,0,1,0,0,0,0,0,0,0,1,71,0,0,2,0,0,0,3,0,9,37,20,12,7,0,1,0,4,35.673888,139.76281
千代田区霞が関１丁目,15,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,9,4,2,1,0,2,35.673944,139.752558
