市区町丁,ひったくり,オートバイ盗,自動販売機ねらい,自動車盗,自転車盗,車上ねらい,部品ねらい
新宿区上落合１丁目,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
新宿区上落合２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区上落合３丁目,0.0,0.0,0.0,0.0,0.875,0.0,0.125
新宿区下宮比町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区下落合１丁目,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0
新宿区下落合２丁目,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
新宿区下落合３丁目,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111
新宿区下落合４丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区中井１丁目,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
新宿区中井２丁目,0.0,0.0,0.0,0.0,0.5,0.5,0.0
新宿区中落合１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区中落合２丁目,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333
新宿区中落合３丁目,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111
新宿区中落合４丁目,0.0,0.0,0.0,0.0,0.0,1.0,0.0
新宿区住吉町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区余丁町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区信濃町,0.0,0.0,0.5,0.0,0.5,0.0,0.0
新宿区内藤町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区北新宿１丁目,0.0,0.04,0.0,0.0,0.88,0.0,0.08
新宿区北新宿２丁目,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0
新宿区北新宿３丁目,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111
新宿区北新宿４丁目,0.0,0.0,0.0,0.0625,0.875,0.0,0.0625
新宿区喜久井町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区大久保１丁目,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0
新宿区大久保２丁目,0.05714285714285714,0.0,0.0,0.0,0.8857142857142857,0.05714285714285714,0.0
新宿区大久保３丁目,0.0,0.045454545454545456,0.0,0.0,0.9090909090909091,0.045454545454545456,0.0
新宿区大京町,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0
新宿区天神町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区富久町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区山吹町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区岩戸町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区左門町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区市谷加賀町２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区市谷台町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区市谷田町１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区市谷田町２丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区市谷砂土原町２丁目,0.0,0.0,0.0,0.0,0.0,0.0,1.0
新宿区市谷砂土原町３丁目,0.0,0.0,0.0,0.0,0.5,0.0,0.5
新宿区市谷薬王寺町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区市谷長延寺町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区弁天町,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
新宿区戸山１丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区戸山２丁目,0.0,0.125,0.0,0.0,0.5,0.0,0.375
新宿区戸山３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区払方町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区揚場町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区新宿１丁目,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0
新宿区新宿２丁目,0.0,0.07692307692307693,0.0,0.0,0.9230769230769231,0.0,0.0
新宿区新宿３丁目,0.03333333333333333,0.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.03333333333333333
新宿区新宿４丁目,0.0,0.0,0.0,0.0,0.4,0.6,0.0
新宿区新宿５丁目,0.0,0.0,0.0,0.0,0.8695652173913043,0.08695652173913043,0.043478260869565216
新宿区新宿６丁目,0.0,0.0,0.0,0.0,0.8,0.2,0.0
新宿区新宿７丁目,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0
新宿区新小川町,0.0,0.0,0.0,0.0,0.5,0.5,0.0
新宿区早稲田町,0.0,0.0,0.0,0.0,0.0,1.0,0.0
新宿区早稲田鶴巻町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区横寺町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区歌舞伎町１丁目,0.0,0.0125,0.0,0.0,0.9375,0.025,0.025
新宿区歌舞伎町２丁目,0.08571428571428572,0.02857142857142857,0.014285714285714285,0.0,0.7857142857142857,0.07142857142857142,0.014285714285714285
新宿区河田町,0.0,0.2,0.0,0.0,0.8,0.0,0.0
新宿区片町,0.0,0.0,0.0,0.0,0.5,0.0,0.5
新宿区白銀町,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区百人町１丁目,0.03333333333333333,0.03333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0
新宿区百人町２丁目,0.0,0.023809523809523808,0.023809523809523808,0.0,0.7857142857142857,0.14285714285714285,0.023809523809523808
新宿区百人町３丁目,0.0,0.25,0.0,0.0,0.5,0.25,0.0
新宿区百人町４丁目,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285
新宿区矢来町,0.0,0.0,0.0,0.0,0.5,0.0,0.5
新宿区神楽坂３丁目,0.0,0.0,0.0,0.0,1.0,0.0,0.0
新宿区神楽坂６丁目,0.0,0.0,0.5,0.0,0.5,0.0,0.0
新宿区神楽河岸,0.0,0.0,0.0,0.0,1.0,0.0,0.0
